"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"December 31, 2015",Louisiana,"New Orleans","1900 block of Amelia Street",0,5,N/A
"December 27, 2015",Tennessee,Jackson,"North Parkway",0,4,N/A
"December 26, 2015",Pennsylvania,Philadelphia,"4210 Macalester St",0,4,N/A
"December 25, 2015",Florida,Jacksonville,"Franklin and Odessa",0,4,N/A
"December 25, 2015",Alabama,Mobile,"785 Schillinger Rd S",0,4,N/A
"December 21, 2015",California,"San Leandro","14600 block of East 14th Street",0,4,N/A
"December 20, 2015","North Carolina",Wilmington,"11th and Castle Street",1,4,N/A
"December 20, 2015",Florida,"Miami (Goulds)","21630 Southwest 120th Avenue",1,4,N/A
"December 20, 2015",Florida,"Miami-dade (county)","Northeast Seventh Avenue and Northeast 166th Street",0,4,N/A
"December 14, 2015",Illinois,"Lovejoy (Brooklyn)","307 Jefferson St",1,3,N/A
"December 13, 2015",California,"Los Angeles","5550 S. Flower Street",1,3,N/A
"December 13, 2015",California,"Huntington Beach","17000 block of Keelson Lane",0,4,N/A
"December 12, 2015",Georgia,Savannah,"Whitaker Street",0,4,N/A
"December 11, 2015",Maryland,Baltimore,"5100 block of Park Heights Avenue",1,3,N/A
"December 11, 2015",Pennsylvania,"Pittsburgh (Mount Oliver)","200 Block of  Brownsville Road",0,4,N/A
"December 8, 2015",Ohio,"Cincinnati (Fairmount)","2300 block of Baltimore Avenue",1,3,N/A
"December 6, 2015",Louisiana,Raceland,"Market Street",1,3,N/A
"December 6, 2015",Nebraska,Omaha,"North 108th Street and Military Road",2,3,N/A
"December 2, 2015",California,"San Bernardino","1365 South Waterman Avenue",16,19,N/A
"December 2, 2015",Georgia,Savannah,"100 block of West 33rd Street",1,3,N/A
"November 29, 2015",Illinois,Kankakee,"648 E. Court St",0,5,N/A
"November 27, 2015",Colorado,"Colorado Springs","3480 Centennial Blvd",3,9,N/A
"November 27, 2015",California,Sacramento,"7900 block of Florin Road",2,2,N/A
"November 24, 2015","South Carolina","Horry (county)","1321 Colletta Court",0,4,N/A
"November 23, 2015",Ohio,Columbus,"90 block of S. Terrace Avenue",4,1,N/A
"November 23, 2015",Minnesota,Minneapolis,"Morgan Avenue North",0,5,N/A
"November 22, 2015",Texas,Brownsville,"1800 Block of FM 802",0,4,N/A
"November 22, 2015",Washington,Seattle,"Broadway and Pike",0,4,N/A
"November 22, 2015",Louisiana,"New Orleans","1900 block of Gallier Street",0,17,N/A
"November 22, 2015","New York",Newburgh,"203 Broadway",0,5,N/A
"November 22, 2015","South Carolina","North Charleston","Park Circle",1,3,N/A
"November 22, 2015",Illinois,Chicago,"4100 block of West Roosevelt",0,4,N/A
"November 21, 2015",Maryland,Baltimore,"Stricker and School",1,3,N/A
"November 20, 2015",Pennsylvania,Pittsburgh,"Prospect Drive",1,3,N/A
"November 18, 2015",California,Fresno,"California Avenue and Martin Luther King Jr. Boulevard",0,5,N/A
"November 16, 2015",Alabama,"Cherokee (county)","1400 block of County Road 664",3,1,N/A
"November 15, 2015",Texas,"Tennessee Colony","800 Block of County Road 2217",5,0,N/A
"November 15, 2015",Pennsylvania,Philadelphia,"5600 block of Blakemore Street",0,4,N/A
"November 14, 2015",Pennsylvania,Johnstown,"1159 Main St",0,4,N/A
"November 13, 2015",Florida,Jacksonville,"1300 block of South Shirley Oaks Drive",4,1,N/A
"November 9, 2015",Indiana,Indianapolis,"400 block of North Beville Ave",2,2,N/A
"November 8, 2015",Michigan,Warren,"13859 8 Mile Road",0,4,N/A
"November 8, 2015",Iowa,"Des Moines","4397 NW 6th Drive",1,3,N/A
"November 7, 2015",Colorado,Denver,"Bayaud and Bannock",1,3,N/A
"November 6, 2015",California,Bakersfield,"1000 block of Feliz Drive",0,4,N/A
"November 3, 2015",Florida,Jacksonville,"Ella Street and Kings Road",2,3,N/A
"November 2, 2015","South Carolina",Pendleton,"2217 Refuge Road",4,0,N/A
"October 28, 2015",Louisiana,Houma,"400 Block of Morgan Street",1,3,N/A
"October 27, 2015",Texas,"Fort Worth","1700 Block of Southcrest Drive",0,5,N/A
"October 26, 2015",Indiana,Evansville,"711 E Virginia St",0,5,N/A
"October 25, 2015","North Carolina","Four Oaks","2339 Stricklands Crossroads Road",0,5,N/A
"October 25, 2015",Arizona,Phoenix,"Seventh Street and Broadway",1,4,N/A
"October 25, 2015","District of Columbia",Washington,"4300 block of Wheeler Road SE",0,5,N/A
"October 24, 2015","South Carolina",Bamberg,"682 Dixie Ave.",0,4,N/A
"October 22, 2015",Tennessee,Nashville,"3500 John A. Merritt Boulevard",1,3,N/A
"October 19, 2015",Illinois,"Calumet City","300 Campbell Avenue",0,6,N/A
"October 18, 2015",Louisiana,"New Orleans","2600 block of Caffin Avenue",0,4,N/A
"October 17, 2015",Florida,"Fort Myers","2224 First St",1,4,N/A
"October 17, 2015",Indiana,Elkhart,"160 Easy Shopping Place",0,4,N/A
"October 12, 2015",Georgia,Decatur,"4731 Glenwood Road",0,4,N/A
"October 10, 2015",Tennessee,Memphis,"6135 Mount Moriah Road",0,6,N/A
"October 10, 2015","North Carolina",Charlotte,"1900 block of West Boulevard",0,4,N/A
"October 10, 2015",Illinois,Peoria,"2405 North Flora",1,3,N/A
