count,geometry
3,"<Point><coordinates>-0.13793,51.513418</coordinates></Point>"
2,"<Point><coordinates>-0.137883,51.513361</coordinates></Point>"
1,"<Point><coordinates>-0.137853,51.513317</coordinates></Point>"
1,"<Point><coordinates>-0.137812,51.513262</coordinates></Point>"
4,"<Point><coordinates>-0.137767,51.513204</coordinates></Point>"
2,"<Point><coordinates>-0.137537,51.513184</coordinates></Point>"
2,"<Point><coordinates>-0.1382,51.513359</coordinates></Point>"
2,"<Point><coordinates>-0.138045,51.513328</coordinates></Point>"
3,"<Point><coordinates>-0.138276,51.513323</coordinates></Point>"
2,"<Point><coordinates>-0.138223,51.513427</coordinates></Point>"
2,"<Point><coordinates>-0.138337,51.513381</coordinates></Point>"
1,"<Point><coordinates>-0.138563,51.513462</coordinates></Point>"
3,"<Point><coordinates>-0.138426,51.513216</coordinates></Point>"
1,"<Point><coordinates>-0.138378,51.513169</coordinates></Point>"
4,"<Point><coordinates>-0.138337,51.513116</coordinates></Point>"
1,"<Point><coordinates>-0.138645,51.51324</coordinates></Point>"
1,"<Point><coordinates>-0.138698,51.513164</coordinates></Point>"
1,"<Point><coordinates>-0.137924,51.513178</coordinates></Point>"
4,"<Point><coordinates>-0.137865,51.513111</coordinates></Point>"
3,"<Point><coordinates>-0.137811,51.513055</coordinates></Point>"
2,"<Point><coordinates>-0.138762,51.513441</coordinates></Point>"
1,"<Point><coordinates>-0.138799,51.513592</coordinates></Point>"
2,"<Point><coordinates>-0.139045,51.513402</coordinates></Point>"
2,"<Point><coordinates>-0.13897,51.51338</coordinates></Point>"
2,"<Point><coordinates>-0.138863,51.513411</coordinates></Point>"
1,"<Point><coordinates>-0.138752,51.513641</coordinates></Point>"
1,"<Point><coordinates>-0.138808,51.513693</coordinates></Point>"
3,"<Point><coordinates>-0.138856,51.513745</coordinates></Point>"
1,"<Point><coordinates>-0.138887,51.513676</coordinates></Point>"
1,"<Point><coordinates>-0.139239,51.51359</coordinates></Point>"
1,"<Point><coordinates>-0.139321,51.513663</coordinates></Point>"
1,"<Point><coordinates>-0.139316,51.513502</coordinates></Point>"
2,"<Point><coordinates>-0.139616,51.513583</coordinates></Point>"
2,"<Point><coordinates>-0.139719,51.513541</coordinates></Point>"
1,"<Point><coordinates>-0.140074,51.513298</coordinates></Point>"
1,"<Point><coordinates>-0.139094,51.513291</coordinates></Point>"
1,"<Point><coordinates>-0.139697,51.513013</coordinates></Point>"
1,"<Point><coordinates>-0.139327,51.512965</coordinates></Point>"
2,"<Point><coordinates>-0.139317,51.512893</coordinates></Point>"
8,"<Point><coordinates>-0.139187,51.512964</coordinates></Point>"
2,"<Point><coordinates>-0.139036,51.513025</coordinates></Point>"
1,"<Point><coordinates>-0.139209,51.513027</coordinates></Point>"
1,"<Point><coordinates>-0.138427,51.512831</coordinates></Point>"
1,"<Point><coordinates>-0.138624,51.512885</coordinates></Point>"
1,"<Point><coordinates>-0.138096,51.512526</coordinates></Point>"
1,"<Point><coordinates>-0.138035,51.512465</coordinates></Point>"
4,"<Point><coordinates>-0.137984,51.512428</coordinates></Point>"
1,"<Point><coordinates>-0.138065,51.512415</coordinates></Point>"
1,"<Point><coordinates>-0.138194,51.51251</coordinates></Point>"
1,"<Point><coordinates>-0.137818,51.512378</coordinates></Point>"
1,"<Point><coordinates>-0.137656,51.512447</coordinates></Point>"
4,"<Point><coordinates>-0.137584,51.512491</coordinates></Point>"
1,"<Point><coordinates>-0.13765,51.512374</coordinates></Point>"
1,"<Point><coordinates>-0.13745,51.512339</coordinates></Point>"
1,"<Point><coordinates>-0.137376,51.512364</coordinates></Point>"
1,"<Point><coordinates>-0.137327,51.512319</coordinates></Point>"
1,"<Point><coordinates>-0.13698,51.51254</coordinates></Point>"
2,"<Point><coordinates>-0.13718,51.512649</coordinates></Point>"
1,"<Point><coordinates>-0.137052,51.512692</coordinates></Point>"
1,"<Point><coordinates>-0.137695,51.512957</coordinates></Point>"
1,"<Point><coordinates>-0.137533,51.512765</coordinates></Point>"
2,"<Point><coordinates>-0.137419,51.51278</coordinates></Point>"
1,"<Point><coordinates>-0.137368,51.512726</coordinates></Point>"
1,"<Point><coordinates>-0.137325,51.512681</coordinates></Point>"
2,"<Point><coordinates>-0.137531,51.512914</coordinates></Point>"
2,"<Point><coordinates>-0.137562,51.513046</coordinates></Point>"
1,"<Point><coordinates>-0.137466,51.513074</coordinates></Point>"
2,"<Point><coordinates>-0.137386,51.513087</coordinates></Point>"
3,"<Point><coordinates>-0.137306,51.513122</coordinates></Point>"
1,"<Point><coordinates>-0.137089,51.513187</coordinates></Point>"
4,"<Point><coordinates>-0.136996,51.513214</coordinates></Point>"
15,"<Point><coordinates>-0.136859,51.513249</coordinates></Point>"
3,"<Point><coordinates>-0.136778,51.513271</coordinates></Point>"
4,"<Point><coordinates>-0.136705,51.5133</coordinates></Point>"
5,"<Point><coordinates>-0.136493,51.51316</coordinates></Point>"
2,"<Point><coordinates>-0.13633,51.513016</coordinates></Point>"
1,"<Point><coordinates>-0.136424,51.512921</coordinates></Point>"
2,"<Point><coordinates>-0.136523,51.51289</coordinates></Point>"
1,"<Point><coordinates>-0.136599,51.512859</coordinates></Point>"
1,"<Point><coordinates>-0.136699,51.51283</coordinates></Point>"
1,"<Point><coordinates>-0.136819,51.512782</coordinates></Point>"
1,"<Point><coordinates>-0.136973,51.512729</coordinates></Point>"
1,"<Point><coordinates>-0.136358,51.512868</coordinates></Point>"
1,"<Point><coordinates>-0.13663,51.512723</coordinates></Point>"
1,"<Point><coordinates>-0.136584,51.512654</coordinates></Point>"
1,"<Point><coordinates>-0.136423,51.512713</coordinates></Point>"
1,"<Point><coordinates>-0.136345,51.512615</coordinates></Point>"
1,"<Point><coordinates>-0.136437,51.512491</coordinates></Point>"
1,"<Point><coordinates>-0.136377,51.512449</coordinates></Point>"
1,"<Point><coordinates>-0.136197,51.512465</coordinates></Point>"
1,"<Point><coordinates>-0.136142,51.512413</coordinates></Point>"
2,"<Point><coordinates>-0.136102,51.512358</coordinates></Point>"
